,date,open,high,low,close,volume,amount,outstanding_share,turnover
0,2024-10-22,31.0,31.67,29.19,30.11,133664187.0,4079525920.0,516313176.0,0.2588819987812978
1,2024-10-23,29.38,31.88,28.76,28.96,112440405.0,3416616180.0,516313176.0,0.21777558704021918
2,2024-10-24,28.06,28.75,27.8,28.22,70421917.0,1981863215.0,516313176.0,0.1363938018114804
3,2024-10-25,28.72,29.98,28.22,29.02,84402716.0,2459664196.0,516313176.0,0.16347193897681975
4,2024-10-28,29.11,29.14,28.33,28.74,58989739.0,1690495730.0,516313176.0,0.11425185670644206
5,2024-10-29,28.7,30.99,28.36,30.06,110100444.0,3285644420.0,516313176.0,0.2132435295433948
6,2024-10-30,28.92,29.52,28.0,28.36,93307364.0,2669669060.0,516313176.0,0.1807185412599271
7,2024-10-31,28.0,28.85,27.28,28.25,75738572.0,2130969735.0,516313176.0,0.14669114700260913
8,2024-11-01,27.81,28.11,25.25,25.25,85316387.0,2236356762.0,516313176.0,0.16524154518187234
9,2024-11-04,25.01,26.12,25.01,26.06,47649396.0,1223065349.0,516313176.0,0.09228777845483455
10,2024-11-05,26.05,28.18,25.88,27.34,72353209.0,1957518671.0,516313176.0,0.14013434551590837
11,2024-11-06,27.7,28.1,26.8,27.36,72801878.0,2004465175.0,516313176.0,0.14100333166783255
12,2024-11-07,26.97,27.95,26.62,27.28,49434703.0,1341321206.0,516313176.0,0.09574557709912095
13,2024-11-08,27.38,29.48,27.38,28.86,98124787.0,2822143187.0,516313176.0,0.19004896942626157
14,2024-11-11,30.15,30.6,28.33,29.42,86532530.0,2533993733.0,516313176.0,0.16759698187520203
15,2024-11-12,29.1,29.8,28.3,28.72,61160755.0,1770854379.0,516313176.0,0.11845670000875592
16,2024-11-13,28.45,28.64,27.59,28.31,36011215.0,1009824607.0,516313176.0,0.0697468448878012
17,2024-11-14,28.03,28.26,26.99,27.0,33794370.0,930860332.0,516313176.0,0.06545323956636737
18,2024-11-15,27.1,27.45,26.0,26.1,32442799.0,869182270.0,516313176.0,0.06283550470538447
19,2024-11-18,26.1,26.45,24.5,24.86,33944900.0,850390987.0,516313176.0,0.06574478742336028
20,2024-11-19,24.79,25.5,24.58,25.5,27535126.0,690564067.0,516313176.0,0.05333027952786547
21,2024-11-20,25.39,26.08,25.21,25.79,28347970.0,730153752.0,516313176.0,0.054904603093065364
22,2024-11-21,25.8,26.98,25.67,26.65,46731658.0,1226327077.0,516313176.0,0.09051029524762699
23,2024-11-22,26.4,26.4,24.8,24.89,36585655.0,939352415.0,516313176.0,0.07085942544297959
24,2024-11-25,24.9,25.13,23.8,24.48,28153165.0,682614003.0,516313176.0,0.05452730301812015
25,2024-11-26,24.59,24.8,23.76,23.88,20856008.0,504052324.0,516313176.0,0.040394103752254426
26,2024-11-27,23.69,24.63,23.12,24.62,29124728.0,697926879.0,516313176.0,0.05640903496911727
27,2024-11-28,24.6,24.95,24.08,24.1,25358970.0,621512805.0,516313176.0,0.04911548102735228
28,2024-11-29,24.05,24.8,23.87,24.49,26987000.0,657855465.0,516313176.0,0.05226866416440242
29,2024-12-02,24.61,24.93,24.42,24.7,23611984.0,582337128.0,516313176.0,0.04573190284030249
30,2024-12-03,24.71,25.33,24.29,25.01,37045361.0,922951170.0,516313176.0,0.07174978815570648
31,2024-12-04,24.62,24.96,24.24,24.4,24556818.0,604027541.0,516313176.0,0.04756186582385417
32,2024-12-05,24.24,24.96,24.17,24.68,20313800.0,500937362.0,516313176.0,0.03934395042438352
33,2024-12-06,24.9,25.24,24.4,24.81,25894356.0,643301346.0,516313176.0,0.050152421444305734
34,2024-12-09,24.7,24.8,23.92,24.14,21202200.0,514665890.0,516313176.0,0.04106461152949542
35,2024-12-10,25.0,25.14,24.6,24.67,33140955.0,825086955.0,516313176.0,0.06418769952134633
36,2024-12-11,24.55,24.99,24.35,24.98,23135911.0,572591513.0,516313176.0,0.044809840374865816
37,2024-12-12,24.99,25.28,24.5,25.17,29041553.0,724592634.0,516313176.0,0.056247940881524204
38,2024-12-13,24.94,25.5,24.55,24.93,35998725.0,900563903.0,516313176.0,0.06972265414353865
39,2024-12-16,24.8,24.89,23.4,23.56,33218778.0,796607025.0,516313176.0,0.06433842780723457
40,2024-12-17,23.45,23.66,22.56,22.6,23867791.0,549228079.0,516313176.0,0.04622735213714554
41,2024-12-18,22.62,23.17,22.41,22.92,16569416.0,379057577.0,516313176.0,0.032091793837932196
42,2024-12-19,22.5,22.97,22.38,22.83,13403517.0,305050320.0,516313176.0,0.025960052199016512
43,2024-12-20,22.8,23.42,22.63,23.21,15544035.0,359806285.0,516313176.0,0.030105826700808424
44,2024-12-23,23.2,23.25,22.14,22.18,18452500.0,416823855.0,516313176.0,0.035738967854657265
45,2024-12-24,22.29,22.54,21.83,22.2,14420500.0,318801004.0,516313176.0,0.027929754014257423
46,2024-12-25,22.21,22.22,21.5,21.75,13631900.0,296788070.0,516313176.0,0.026402386446167315
47,2024-12-26,21.77,22.15,21.76,21.8,10691556.0,234705360.0,516313176.0,0.020707501758583824
48,2024-12-27,22.24,22.89,22.11,22.37,29532235.0,663880541.0,516313176.0,0.05719829818946941
49,2024-12-30,22.3,22.45,21.72,21.94,16510063.0,364301490.0,516313176.0,0.031976838414055894
50,2024-12-31,21.92,22.08,20.87,20.89,18915114.0,403875701.0,516313176.0,0.036634962807921834
51,2025-01-02,20.86,21.2,20.0,20.21,21619755.0,445415440.0,516313176.0,0.04187333580656094
52,2025-01-03,20.31,20.55,19.05,19.11,18968455.0,372145016.0,516313176.0,0.03673827413616111
53,2025-01-06,19.24,19.34,18.68,18.9,14208370.0,269635332.0,516313176.0,0.027518898723591746
54,2025-01-07,18.98,19.38,18.9,19.35,13154305.0,251903955.0,516313176.0,0.025477376157450608
55,2025-01-08,19.35,19.48,18.47,19.13,17106535.0,324969996.0,516313176.0,0.03313209074486218
56,2025-01-09,18.96,19.47,18.96,19.34,14841419.0,286862042.0,516313176.0,0.028744993716759225
57,2025-01-10,19.29,19.49,18.63,18.65,13298782.0,253584297.0,516313176.0,0.02575720050963797
58,2025-01-13,18.47,18.97,18.12,18.85,11054869.0,206146550.0,516313176.0,0.0214111696425117
59,2025-01-14,18.97,19.99,18.79,19.98,21359580.0,417391021.0,516313176.0,0.04136942652805746
60,2025-01-15,20.0,20.21,19.67,19.76,16040600.0,319970567.0,516313176.0,0.03106757825603118
61,2025-01-16,19.91,20.48,19.8,19.98,17075200.0,343026400.0,516313176.0,0.03307140083521711
62,2025-01-17,19.94,20.2,19.64,20.03,14286619.0,284885076.0,516313176.0,0.02767045209010897
63,2025-01-20,20.24,20.3,19.93,20.04,11828100.0,237843210.0,516313176.0,0.022908770393262248
64,2025-01-21,20.1,20.17,19.65,19.87,11486312.0,227895627.0,516313176.0,0.02224679232280526
65,2025-01-22,19.01,19.25,18.91,19.06,19834781.0,378667522.0,516313176.0,0.038416182119667616
66,2025-01-23,19.49,19.85,18.99,18.99,17105553.0,332856757.0,516313176.0,0.03313018879843578
