,date,code,close,tradeStatus
0,2024-10-22,sz.002363,6.5800,1
1,2024-10-23,sz.002363,6.5600,1
2,2024-10-24,sz.002363,6.5500,1
3,2024-10-25,sz.002363,6.6800,1
4,2024-10-28,sz.002363,6.9300,1
5,2024-10-29,sz.002363,6.7100,1
6,2024-10-30,sz.002363,6.7200,1
7,2024-10-31,sz.002363,6.7300,1
8,2024-11-01,sz.002363,6.4100,1
9,2024-11-04,sz.002363,6.6300,1
10,2024-11-05,sz.002363,6.8000,1
11,2024-11-06,sz.002363,6.8500,1
12,2024-11-07,sz.002363,7.0600,1
13,2024-11-08,sz.002363,6.9700,1
14,2024-11-11,sz.002363,7.1400,1
15,2024-11-12,sz.002363,7.2300,1
16,2024-11-13,sz.002363,7.1700,1
17,2024-11-14,sz.002363,6.9400,1
18,2024-11-15,sz.002363,6.8000,1
19,2024-11-18,sz.002363,6.7000,1
20,2024-11-19,sz.002363,6.9200,1
21,2024-11-20,sz.002363,7.0100,1
22,2024-11-21,sz.002363,7.0500,1
23,2024-11-22,sz.002363,6.7600,1
24,2024-11-25,sz.002363,6.9500,1
25,2024-11-26,sz.002363,6.8500,1
26,2024-11-27,sz.002363,6.8400,1
27,2024-11-28,sz.002363,6.8600,1
28,2024-11-29,sz.002363,6.9500,1
29,2024-12-02,sz.002363,7.1300,1
30,2024-12-03,sz.002363,7.2800,1
31,2024-12-04,sz.002363,7.2400,1
32,2024-12-05,sz.002363,7.2500,1
33,2024-12-06,sz.002363,7.2900,1
34,2024-12-09,sz.002363,7.3400,1
35,2024-12-10,sz.002363,7.4200,1
36,2024-12-11,sz.002363,7.3800,1
37,2024-12-12,sz.002363,7.4700,1
38,2024-12-13,sz.002363,7.3200,1
39,2024-12-16,sz.002363,7.2100,1
40,2024-12-17,sz.002363,6.9300,1
41,2024-12-18,sz.002363,6.9900,1
42,2024-12-19,sz.002363,6.9600,1
43,2024-12-20,sz.002363,6.9800,1
44,2024-12-23,sz.002363,6.4400,1
45,2024-12-24,sz.002363,6.5800,1
46,2024-12-25,sz.002363,6.4400,1
47,2024-12-26,sz.002363,6.5900,1
48,2024-12-27,sz.002363,6.7100,1
49,2024-12-30,sz.002363,6.8100,1
50,2024-12-31,sz.002363,6.5700,1
51,2025-01-02,sz.002363,6.3900,1
52,2025-01-03,sz.002363,6.0100,1
53,2025-01-06,sz.002363,6.0000,1
54,2025-01-07,sz.002363,6.1900,1
55,2025-01-08,sz.002363,6.1100,1
56,2025-01-09,sz.002363,6.1400,1
57,2025-01-10,sz.002363,6.3100,1
58,2025-01-13,sz.002363,6.4200,1
59,2025-01-14,sz.002363,6.8000,1
60,2025-01-15,sz.002363,6.6700,1
61,2025-01-16,sz.002363,6.6200,1
62,2025-01-17,sz.002363,6.6500,1
63,2025-01-20,sz.002363,6.8200,1
64,2025-01-21,sz.002363,6.8900,1
65,2025-01-22,sz.002363,6.8000,1
66,2025-01-23,sz.002363,6.8200,1
67,2025-01-24,sz.002363,6.8400,1
68,2025-01-27,sz.002363,6.7400,1
69,2025-02-05,sz.002363,6.7800,1
70,2025-02-06,sz.002363,7.0700,1
71,2025-02-07,sz.002363,7.2100,1
72,2025-02-10,sz.002363,7.1300,1
73,2025-02-11,sz.002363,7.1400,1
74,2025-02-12,sz.002363,7.1400,1
75,2025-02-13,sz.002363,6.9700,1
