,date,code,close,tradeStatus
0,2025-01-02,sh.688258,33.7000,1
1,2025-01-03,sh.688258,31.1100,1
2,2025-01-06,sh.688258,29.9000,1
3,2025-01-07,sh.688258,30.3700,1
4,2025-01-08,sh.688258,30.0800,1
5,2025-01-09,sh.688258,30.1700,1
6,2025-01-10,sh.688258,31.4100,1
7,2025-01-13,sh.688258,31.7000,1
8,2025-01-14,sh.688258,32.9000,1
9,2025-01-15,sh.688258,33.3200,1
10,2025-01-16,sh.688258,32.8500,1
11,2025-01-17,sh.688258,32.9400,1
12,2025-01-20,sh.688258,34.0000,1
13,2025-01-21,sh.688258,34.7200,1
14,2025-01-22,sh.688258,34.3000,1
15,2025-01-23,sh.688258,33.8700,1
16,2025-01-24,sh.688258,37.1800,1
17,2025-01-27,sh.688258,35.5400,1
18,2025-02-05,sh.688258,37.9700,1
19,2025-02-06,sh.688258,38.2200,1
20,2025-02-07,sh.688258,38.1300,1
21,2025-02-10,sh.688258,39.6700,1
22,2025-02-11,sh.688258,39.8300,1
23,2025-02-12,sh.688258,39.6200,1
24,2025-02-13,sh.688258,38.4800,1
25,2025-02-14,sh.688258,42.9900,1
26,2025-02-17,sh.688258,42.7800,1
27,2025-02-18,sh.688258,42.5400,1
28,2025-02-19,sh.688258,46.9900,1
29,2025-02-20,sh.688258,45.9800,1
30,2025-02-21,sh.688258,47.7000,1
31,2025-02-24,sh.688258,44.4800,1
32,2025-02-25,sh.688258,44.6000,1
33,2025-02-26,sh.688258,44.4000,1
34,2025-02-27,sh.688258,43.1800,1
35,2025-02-28,sh.688258,39.1000,1
36,2025-03-03,sh.688258,42.6000,1
37,2025-03-04,sh.688258,44.6800,1
38,2025-03-05,sh.688258,46.7400,1
39,2025-03-06,sh.688258,50.7600,1
40,2025-03-07,sh.688258,47.7000,1
41,2025-03-10,sh.688258,49.3600,1
42,2025-03-11,sh.688258,47.8500,1
43,2025-03-12,sh.688258,46.9300,1
44,2025-03-13,sh.688258,48.2500,1
45,2025-03-14,sh.688258,48.0100,1
46,2025-03-17,sh.688258,49.5900,1
47,2025-03-18,sh.688258,49.4600,1
48,2025-03-19,sh.688258,47.6400,1
49,2025-03-20,sh.688258,46.0000,1
50,2025-03-21,sh.688258,42.6800,1
51,2025-03-24,sh.688258,42.5100,1
52,2025-03-25,sh.688258,41.4400,1
53,2025-03-26,sh.688258,41.2500,1
54,2025-03-27,sh.688258,40.9900,1
55,2025-03-28,sh.688258,41.3500,1
56,2025-03-31,sh.688258,41.4800,1
57,2025-04-01,sh.688258,41.8700,1
58,2025-04-02,sh.688258,41.6600,1
59,2025-04-03,sh.688258,38.8500,1
60,2025-04-07,sh.688258,31.9500,1
61,2025-04-08,sh.688258,32.3600,1
62,2025-04-09,sh.688258,33.8400,1
63,2025-04-10,sh.688258,35.4900,1
64,2025-04-11,sh.688258,35.7600,1
65,2025-04-14,sh.688258,37.6200,1
66,2025-04-15,sh.688258,37.6200,1
67,2025-04-16,sh.688258,38.0000,1
68,2025-04-17,sh.688258,42.6400,1
69,2025-04-18,sh.688258,42.2000,1
70,2025-04-21,sh.688258,45.5000,1
71,2025-04-22,sh.688258,43.0000,1
72,2025-04-23,sh.688258,43.1500,1
73,2025-04-24,sh.688258,43.3000,1
74,2025-04-25,sh.688258,43.7900,1
75,2025-04-28,sh.688258,44.7900,1
76,2025-04-29,sh.688258,46.2000,1
77,2025-04-30,sh.688258,46.5100,1
78,2025-05-06,sh.688258,48.3000,1
79,2025-05-07,sh.688258,47.0800,1
80,2025-05-08,sh.688258,48.2200,1
81,2025-05-09,sh.688258,46.1400,1
82,2025-05-12,sh.688258,46.9700,1
83,2025-05-13,sh.688258,47.3000,1
84,2025-05-14,sh.688258,46.7000,1
85,2025-05-15,sh.688258,45.4500,1
86,2025-05-16,sh.688258,45.7500,1
87,2025-05-19,sh.688258,45.7700,1
88,2025-05-20,sh.688258,45.1100,1
89,2025-05-21,sh.688258,44.6200,1
90,2025-05-22,sh.688258,45.6600,1
91,2025-05-23,sh.688258,44.1700,1
92,2025-05-26,sh.688258,44.3000,1
93,2025-05-27,sh.688258,42.8000,1
94,2025-05-28,sh.688258,42.4100,1
95,2025-05-29,sh.688258,43.8400,1
