,date,open,high,low,close,volume,amount,outstanding_share,turnover
0,2025-01-02,8.14,8.24,7.85,7.95,10020060.0,80633205.0,534516031.0,0.01874604206211357
1,2025-01-03,7.96,8.06,7.7,7.7,8832033.0,69268242.0,534516031.0,0.016523420230215694
2,2025-01-06,7.69,7.79,7.4,7.66,7959955.0,60670700.0,534516031.0,0.01489189198892334
3,2025-01-07,7.74,7.82,7.58,7.82,6515113.0,50244112.0,534516031.0,0.012188807485925525
4,2025-01-08,7.79,7.81,7.38,7.66,11419770.0,86587783.0,534516031.0,0.02136469130520802
5,2025-01-09,7.59,7.86,7.54,7.75,6351658.0,49318237.0,534516031.0,0.011883007490190691
6,2025-01-10,7.74,8.1,7.52,7.52,9179830.0,71183313.0,534516031.0,0.017174096692340365
7,2025-01-13,7.33,7.64,7.21,7.58,6637140.0,49589651.0,534516031.0,0.01241710185489273
8,2025-01-14,7.58,7.96,7.54,7.92,7919072.0,61742419.0,534516031.0,0.01481540597610252
9,2025-01-15,7.92,8.02,7.85,7.91,6417522.0,50922305.0,534516031.0,0.012006229238800884
10,2025-01-16,7.99,8.06,7.9,8.04,6971720.0,55773301.0,534516031.0,0.013043051275668849
11,2025-01-17,8.1,8.3,7.98,8.01,8471300.0,68513380.0,534516031.0,0.015848542435951747
12,2025-01-20,8.26,8.49,8.01,8.4,15957849.0,131931021.0,534516031.0,0.02985476220450346
13,2025-01-21,8.36,8.42,8.12,8.17,10090134.0,82722247.0,534516031.0,0.01887714009460644
14,2025-01-22,8.14,8.22,8.05,8.12,7398950.0,60130550.0,534516031.0,0.01384233506740231
15,2025-01-23,8.22,8.41,8.04,8.07,11017900.0,90697512.0,534516031.0,0.0206128523018985
16,2025-01-24,8.01,8.2,8.01,8.13,8161756.0,66403095.0,534516031.0,0.015269431647785322
17,2025-01-27,8.18,8.29,8.03,8.03,7171330.0,58389163.0,534516031.0,0.013416491899379534
18,2025-02-05,8.1,8.37,8.02,8.33,9011917.0,74340854.0,534516031.0,0.01685995644160577
19,2025-02-06,8.3,8.41,8.13,8.28,13604751.0,112241425.0,534516031.0,0.02545246580265803
20,2025-02-07,8.29,8.45,8.2,8.35,11499791.0,95991537.0,534516031.0,0.021514398695368597
21,2025-02-10,8.39,8.76,8.3,8.64,28704041.0,246457623.0,534516031.0,0.05370099180430381
22,2025-02-11,8.55,9.2,8.4,9.13,31496548.0,279009675.0,534516031.0,0.05892535709560412
23,2025-02-12,8.95,9.33,8.95,9.12,25721700.0,235818229.0,534516031.0,0.04812147533139188
24,2025-02-13,9.12,9.35,8.99,9.08,19610611.0,179842332.0,534516031.0,0.03668853666242987
25,2025-02-14,9.0,9.18,8.84,8.84,16053160.0,144522150.0,534516031.0,0.030033074910713015
26,2025-02-17,8.93,8.96,8.7,8.73,15589561.0,136961924.0,534516031.0,0.029165750128830093
27,2025-02-18,8.68,8.86,8.55,8.58,13967710.0,121438517.0,534516031.0,0.026131508111868023
28,2025-02-19,8.58,8.72,8.55,8.66,9523039.0,82281953.0,534516031.0,0.017816189688799063
29,2025-02-20,8.64,8.75,8.56,8.67,10546342.0,91236057.0,534516031.0,0.019730637414689625
30,2025-02-21,8.75,8.75,8.61,8.7,13314767.0,115695968.0,534516031.0,0.024909948865499975
31,2025-02-24,8.7,8.76,8.45,8.58,13912570.0,119279356.0,534516031.0,0.026028349372368965
32,2025-02-25,8.5,9.08,8.49,8.74,25322777.0,223656802.0,534516031.0,0.04737514972680024
33,2025-02-26,8.74,9.05,8.72,8.85,20894130.0,185535814.0,534516031.0,0.03908980982461871
34,2025-02-27,8.84,9.0,8.7,8.87,21182652.0,187299505.0,534516031.0,0.03962959157720753
35,2025-02-28,8.83,8.83,8.45,8.47,14759664.0,127056766.0,534516031.0,0.02761313626531811
36,2025-03-03,8.59,9.19,8.5,8.86,32294169.0,287048467.0,534516031.0,0.06041758736324973
37,2025-03-04,8.79,8.84,8.58,8.71,19699221.0,170756918.0,534516031.0,0.03685431279422188
38,2025-03-05,8.65,8.72,8.36,8.55,17660860.0,150103348.0,534516031.0,0.03304084251123237
39,2025-03-06,8.54,8.86,8.46,8.77,21809998.0,189484888.0,534516031.0,0.04080326264339862
40,2025-03-07,8.71,8.75,8.39,8.4,19323610.0,165198043.0,534516031.0,0.03615160047463572
41,2025-03-10,8.44,8.57,8.28,8.41,12483394.0,104924636.0,534516031.0,0.02335457362550086
42,2025-03-11,8.39,8.52,8.27,8.41,11826410.0,99051830.0,534516031.0,0.022125454269116204
43,2025-03-12,8.41,8.5,8.35,8.42,9440454.0,79597818.0,534516031.0,0.017661685435960292
44,2025-03-13,8.39,8.78,8.32,8.46,20494883.0,174795821.0,534516031.0,0.03834287806421282
45,2025-03-14,8.49,8.98,8.47,8.87,33946483.0,298828492.0,534516031.0,0.06350882112271017
46,2025-03-17,8.92,8.96,8.69,8.74,17075333.0,149621136.0,534516031.0,0.03194540857465882
47,2025-03-18,8.75,8.97,8.71,8.93,15602917.0,138164662.0,534516031.0,0.02919073721850636
48,2025-03-19,8.88,9.06,8.83,8.93,14669662.0,131472060.0,534516031.0,0.02744475590854636
49,2025-03-20,8.99,9.26,8.96,8.97,18948489.0,172279686.0,534516031.0,0.03544980487217604
50,2025-03-21,8.91,9.3,8.8,9.05,24128611.0,218971391.0,534516031.0,0.045141042738903375
51,2025-03-24,9.08,9.2,8.72,9.14,20008684.0,179173599.0,534516031.0,0.037433272043434745
52,2025-03-25,9.14,9.49,9.04,9.39,34977445.0,325981091.0,534516031.0,0.06543759769854311
53,2025-03-26,9.4,9.48,9.2,9.32,23674878.0,220571639.0,534516031.0,0.04429217577573459
