,date,open,high,low,close,volume,amount,outstanding_share,turnover
0,2024-10-22,12.75,13.16,12.63,12.84,13811120.0,177994243.0,285547799.0,0.04836710368059955
1,2024-10-23,12.72,12.9,12.56,12.61,10677016.0,135894442.0,285547799.0,0.03739134406705758
2,2024-10-24,12.5,12.61,12.33,12.53,6839525.0,85476301.0,285547799.0,0.02395229458588823
3,2024-10-25,11.93,12.46,11.93,12.42,14630098.0,178888060.0,285547799.0,0.05123519792915651
4,2024-10-28,12.32,12.85,12.13,12.79,12941511.0,162247268.0,285547799.0,0.04532169761182435
5,2024-10-29,13.01,13.24,12.7,12.71,15281760.0,198111233.0,283419111.0,0.053919299746868515
6,2024-10-30,12.72,13.12,12.57,13.09,12457036.0,160133919.0,283419111.0,0.043952702963633246
7,2024-10-31,13.1,13.3,12.83,13.04,14967646.0,195856242.0,283419111.0,0.05281099763240736
8,2024-11-01,12.95,12.95,12.2,12.22,13022068.0,162938614.0,283419111.0,0.04594632999184025
9,2024-11-04,12.65,14.66,12.65,14.66,22658149.0,325715874.0,283419111.0,0.07994573449918133
10,2024-11-05,15.59,17.59,15.35,17.59,83863931.0,1375360019.0,283419111.0,0.29590076231662443
11,2024-11-06,18.99,21.11,18.71,20.46,126992875.0,2573748418.0,283419111.0,0.44807449487765844
12,2024-11-07,19.0,19.5,17.19,18.17,100604654.0,1822995612.0,283419111.0,0.35496778479415947
13,2024-11-08,18.0,19.95,18.0,18.25,91424608.0,1728144462.0,310306605.0,0.2946266902697737
14,2024-11-11,17.35,19.29,17.17,18.7,67527356.0,1242825975.0,310306605.0,0.21761494893091302
15,2024-11-12,18.39,19.11,17.9,18.6,61455695.0,1143050029.0,310306605.0,0.19804829806958185
16,2024-11-13,18.5,22.32,18.3,21.38,97967828.0,1948857266.0,310306605.0,0.3157129961832427
17,2024-11-14,20.82,22.66,20.06,21.35,97859229.0,2083241990.0,310306605.0,0.3153630229688472
18,2024-11-15,20.73,24.25,19.99,22.82,114671616.0,2563782535.0,310306605.0,0.36954294285808065
19,2024-11-18,22.99,26.58,20.99,21.2,113055388.0,2711124416.0,310306605.0,0.36433445559433064
20,2024-11-19,20.31,25.44,20.31,25.44,145106417.0,3502762966.0,310306605.0,0.4676227146373504
21,2024-11-20,26.15,30.53,25.02,30.53,150416723.0,4217218894.0,310306605.0,0.4847358083144895
22,2024-11-21,30.53,32.95,28.93,32.08,158241652.0,4926407338.0,310306605.0,0.5099525741645106
23,2024-11-22,30.5,32.2,29.11,30.0,110736155.0,3392883128.0,310306605.0,0.35686045097235364
24,2024-11-25,30.33,31.45,27.9,30.84,97515404.0,2920039992.0,310306605.0,0.3142550059480687
25,2024-11-26,29.24,29.42,26.0,26.8,93848496.0,2584287991.0,310306605.0,0.30243795809631574
26,2024-11-27,25.52,26.26,24.79,25.95,85804382.0,2188007072.0,310306605.0,0.27651484247330155
27,2024-11-28,25.64,26.78,24.52,24.58,83231036.0,2129431106.0,310306605.0,0.2682219284375207
28,2024-11-29,24.66,29.5,24.66,29.5,122482578.0,3284679447.0,324280373.0,0.3777058008996431
29,2024-12-02,30.0,35.0,29.57,33.26,139608041.0,4547661043.0,324280373.0,0.4305164685375516
30,2024-12-03,32.96,35.95,32.4,32.6,135461739.0,4603615412.0,324280373.0,0.41773030463363875
31,2024-12-04,32.66,35.13,32.33,32.7,119999277.0,4025387851.0,324280373.0,0.3700479183795684
32,2024-12-05,32.13,37.5,31.32,35.19,126812794.0,4322636624.0,324280373.0,0.3910591098277786
33,2024-12-06,33.5,36.88,31.8,33.86,115018638.0,3869699939.0,324280373.0,0.35468886672336475
34,2024-12-09,32.9,37.5,32.9,35.29,105108000.0,3705161381.0,324280373.0,0.32412692457338454
35,2024-12-10,36.0,39.0,35.3,36.77,110596561.0,4126374533.0,324280373.0,0.3410522813232363
36,2024-12-11,35.0,36.3,33.05,34.07,82263081.0,2845379157.0,333685617.0,0.2465286988980409
37,2024-12-12,33.05,36.81,32.88,35.39,87494688.0,3073691688.0,333685617.0,0.26220695032234487
38,2024-12-13,34.2,36.38,33.79,33.81,76719927.0,2675890160.0,333685617.0,0.2299167932071822
39,2024-12-16,33.01,36.0,32.36,35.01,76644620.0,2657516836.0,337689986.99999994,0.22696740487007694
40,2024-12-17,34.0,34.9,31.23,31.5,74667773.0,2429739546.0,337689986.99999994,0.22111337580169357
41,2024-12-18,31.06,31.5,29.76,30.24,62139569.0,1886495558.0,337689986.99999994,0.18401365569657832
42,2024-12-19,29.5,30.98,29.46,30.03,56256237.0,1703928830.0,337689986.99999994,0.16659136831320975
43,2024-12-20,29.57,31.5,29.56,30.76,55094440.0,1699746715.0,337689986.99999994,0.16315094353093748
44,2024-12-23,30.47,30.7,28.0,28.07,57120762.0,1659341965.0,337689986.99999994,0.16915148271778638
45,2024-12-24,28.5,29.16,27.85,28.68,44953462.0,1278891064.0,337689986.99999994,0.1331205061759797
46,2024-12-25,28.4,28.75,26.6,27.07,44288623.0,1212823382.0,337689986.99999994,0.1311517211198803
47,2024-12-26,27.0,28.12,27.0,27.8,36190750.0,1002691562.0,337689986.99999994,0.10717152238215463
48,2024-12-27,27.81,28.0,26.91,27.18,34365951.0,945389670.0,337689986.99999994,0.10176775244449285
49,2024-12-30,26.98,27.4,26.36,26.92,25445218.0,685063611.0,337689986.99999994,0.07535082169907514
50,2024-12-31,27.2,27.35,25.49,25.49,30541197.0,797363554.0,337689986.99999994,0.09044152381100955
51,2025-01-02,25.4,29.94,25.0,29.4,88139326.0,2443543288.0,337689986.99999994,0.26100663150548203
52,2025-01-03,29.5,31.0,28.45,29.76,96442498.0,2869421328.0,337689986.99999994,0.28559478134600425
53,2025-01-06,28.3,29.97,27.78,29.38,63139864.0,1817652289.0,337689986.99999994,0.1869758252559618
54,2025-01-07,28.94,31.0,28.83,31.0,72559003.0,2182417892.0,337689986.99999994,0.21486868368412715
55,2025-01-08,30.69,35.53,30.2,33.28,105180967.0,3400632223.0,337689986.99999994,0.3114719744414572
56,2025-01-09,32.31,34.44,31.61,32.24,87117082.0,2849955332.0,337689986.99999994,0.25797946446069786
57,2025-01-10,31.55,33.9,30.6,30.6,76318977.0,2471584808.0,337689986.99999994,0.22600307956421584
58,2025-01-13,29.49,31.7,28.6,29.2,64653042.0,1946193909.0,337689986.99999994,0.19145679317995298
59,2025-01-14,29.43,34.97,29.01,34.17,99651090.0,3196488750.0,337689986.99999994,0.29509637192766397
60,2025-01-15,33.58,33.79,32.66,33.03,73030660.0,2420708445.0,337689986.99999994,0.21626539966078417
61,2025-01-16,33.4,34.13,32.53,33.1,65700135.0,2192836303.0,337689986.99999994,0.1945575454684714
62,2025-01-17,31.79,32.85,30.74,31.33,69578646.0,2204563598.0,337689986.99999994,0.20604296448979403
63,2025-01-20,31.56,31.87,30.76,31.22,45492759.0,1420357773.0,337689986.99999994,0.13471752421252575
64,2025-01-21,31.56,32.76,31.0,32.55,73346224.0,2350545511.0,337689986.99999994,0.21719987806449237
65,2025-01-22,31.65,31.84,30.1,30.1,53178446.0,1639641053.0,337689986.99999994,0.15747711820664675
66,2025-01-23,30.6,31.68,29.56,29.7,44882074.0,1379184007.0,337689986.99999994,0.1329091051787686
67,2025-01-24,29.12,31.28,29.02,30.94,48439567.0,1474550643.0,337689986.99999994,0.14344389488812415
68,2025-01-27,30.83,31.2,28.7,29.0,39186757.0,1150269272.0,337689986.99999994,0.11604358585852889
69,2025-02-05,29.33,31.39,29.01,30.99,48550674.0,1479578854.0,337689986.99999994,0.1437729156002485
70,2025-02-06,30.6,33.66,30.48,32.98,72353533.0,2363909699.0,337689986.99999994,0.21426022619971855
71,2025-02-07,32.8,33.83,31.81,32.62,74629734.0,2446329323.0,337689986.99999994,0.2210007310640218
72,2025-02-10,32.5,33.25,31.59,32.84,51861053.0,1685545614.0,337689986.99999994,0.15357592761552627
73,2025-02-11,32.5,35.5,31.57,35.5,83631724.0,2756336220.0,337689986.99999994,0.24765828783664828
74,2025-02-12,35.0,38.88,34.68,34.95,112580731.0,4081365741.0,337689986.99999994,0.33338486580592636
75,2025-02-13,34.28,35.2,32.3,32.49,81016391.0,2715977172.0,337689986.99999994,0.23991351274504924
