,date,open,high,low,close,volume,amount,outstanding_share,turnover
0,2024-10-22,17.5,17.67,17.31,17.56,6860371.0,120012293.0,198886750.0,0.03449385642834427
1,2024-10-23,17.65,18.25,17.62,18.1,13191941.0,237458611.0,198886750.0,0.06632890828574553
2,2024-10-24,18.13,18.16,17.2,17.33,9576388.0,167482180.0,198886750.0,0.048149954685266866
3,2024-10-25,17.33,18.35,17.32,18.01,12141320.0,216976518.0,198886750.0,0.061046399521335636
4,2024-10-28,17.99,18.07,17.6,17.98,8697508.0,155343761.0,198886750.0,0.04373095744186076
5,2024-10-29,17.99,18.47,17.59,17.61,8513762.0,152793361.0,198886750.0,0.04280708493652795
6,2024-10-30,17.55,18.35,17.51,17.85,9146894.0,164218934.0,198886750.0,0.045990464422592255
7,2024-10-31,17.75,18.75,17.75,18.39,15547372.0,285623241.0,198886750.0,0.07817198481045118
8,2024-11-01,18.37,20.23,18.32,20.23,26409634.0,531248645.0,198886750.0,0.13278729729356029
9,2024-11-04,20.39,21.59,20.0,20.98,35310318.0,737330376.0,198886750.0,0.17753982102880156
10,2024-11-05,20.33,22.8,19.82,21.65,28394348.0,586828829.0,198886750.0,0.14276641354941946
11,2024-11-06,21.35,21.37,20.56,20.75,19724681.0,411995088.0,198886750.0,0.09917544029453948
12,2024-11-07,20.6,20.93,20.12,20.71,12627103.0,259444409.0,198886750.0,0.06348891014610074
13,2024-11-08,20.81,21.12,20.48,20.48,12715260.0,263861798.0,198886750.0,0.06393216239895318
14,2024-11-11,20.2,20.65,19.92,20.63,8955985.0,182744782.0,198886750.0,0.04503057644614335
15,2024-11-12,20.63,20.96,20.0,20.23,8481082.0,173988951.0,198886750.0,0.04264277032029534
16,2024-11-13,20.01,20.35,19.63,20.05,6621200.0,132002458.0,198886750.0,0.03329130774171733
17,2024-11-14,20.03,20.05,19.24,19.27,5848030.0,114636895.0,198886750.0,0.02940381900755078
18,2024-11-15,19.1,19.37,18.41,18.42,6436900.0,121922213.0,198886750.0,0.03236464973156834
19,2024-11-18,18.41,18.49,17.38,17.49,6539600.0,116001837.0,198886750.0,0.0328810239998391
20,2024-11-19,17.47,17.99,17.37,17.9,5074763.0,89790073.0,198886750.0,0.025515842558642043
21,2024-11-20,17.89,18.33,17.8,18.3,5767943.0,104711597.0,198886750.0,0.02900114261005321
22,2024-11-21,18.29,18.53,18.08,18.5,5317943.0,97449781.0,198886750.0,0.02673854844528356
23,2024-11-22,18.5,18.51,17.45,17.47,5482942.0,98737988.0,198886750.0,0.027568161277712066
24,2024-11-25,17.47,17.95,17.47,17.92,4779322.0,84845055.0,198886750.0,0.02403036904167824
25,2024-11-26,17.85,18.0,17.55,17.68,3472800.0,61565431.0,198886750.0,0.017461193367582305
26,2024-11-27,17.43,17.83,17.0,17.82,4047431.0,70277235.0,198886750.0,0.020350430584239524
27,2024-11-28,17.8,18.51,17.65,18.3,7852440.0,143204433.0,198886750.0,0.03948196649600841
28,2024-11-29,18.16,18.97,18.1,18.78,8099796.0,151053971.0,198886750.0,0.04072566925649899
29,2024-12-02,18.7,18.92,18.5,18.84,6935922.0,130032899.0,198886750.0,0.03487372587666097
30,2024-12-03,18.74,18.98,18.62,18.81,4234320.0,79496944.0,198886750.0,0.02129010605281649
31,2024-12-04,18.68,18.84,18.37,18.46,3640300.0,67725632.0,198886750.0,0.018303381195579897
32,2024-12-05,18.41,18.71,18.4,18.64,3202660.0,59508908.0,198886750.0,0.01610293295053592
33,2024-12-06,18.6,18.66,18.42,18.56,4147600.0,76878709.0,198886750.0,0.020854079017330215
34,2024-12-09,18.51,18.76,18.31,18.72,3624400.0,67513306.0,198886750.0,0.018223436201758036
35,2024-12-10,19.1,19.18,18.7,18.7,5615088.0,106096472.0,198886750.0,0.028232589652151287
36,2024-12-11,18.65,19.09,18.51,18.96,4743522.0,89107869.0,198886750.0,0.023850367105903235
37,2024-12-12,18.95,19.35,18.8,19.05,4390002.0,83671939.0,198886750.0,0.0220728731300602
38,2024-12-13,18.96,18.97,18.42,18.43,4583914.0,85301343.0,198886750.0,0.02304786015156867
39,2024-12-16,18.38,18.73,18.35,18.52,3622200.0,67091708.0,198886750.0,0.018212374630285827
40,2024-12-17,18.5,18.56,17.6,17.63,3820700.0,68617940.0,198886750.0,0.019210430056300885
41,2024-12-18,17.7,17.8,17.3,17.66,2542892.0,44871208.0,198886750.0,0.012785628001865383
42,2024-12-19,17.5,17.68,17.35,17.62,2420692.0,42382386.0,198886750.0,0.012171207986454604
43,2024-12-20,17.62,17.94,17.54,17.88,2370014.0,42203630.0,198886750.0,0.011916399659605278
44,2024-12-23,17.79,17.87,16.85,16.87,3677500.0,63442406.0,198886750.0,0.018490422313200854
45,2024-12-24,16.92,17.38,16.82,17.06,2683242.0,45778551.0,198886750.0,0.013491305981921872
46,2024-12-25,17.05,17.05,16.26,16.45,3386800.0,55970755.0,198886750.0,0.01702878648275966
47,2024-12-26,16.44,16.75,16.38,16.66,2380560.0,39637513.0,198886750.0,0.011969424810853413
48,2024-12-27,16.66,17.05,16.66,16.82,2430350.0,41036782.0,198886750.0,0.012219768285217593
49,2024-12-30,16.91,16.91,16.25,16.59,2354212.0,39035221.0,198886750.0,0.011836947408512634
50,2024-12-31,16.68,16.71,16.01,16.1,2761220.0,44997201.0,198886750.0,0.013883378354767223
51,2025-01-02,16.09,16.2,15.4,15.59,3006970.0,47483878.0,198886750.0,0.015119006168083092
52,2025-01-03,15.67,15.67,14.84,14.88,2951100.0,44818816.0,198886750.0,0.014838092532559358
53,2025-01-06,14.95,15.27,14.4,15.05,2821300.0,42078573.0,198886750.0,0.014185459815699136
54,2025-01-07,15.13,15.32,14.95,15.32,2207312.0,33430657.0,198886750.0,0.011098336113391163
55,2025-01-08,15.31,15.37,14.81,15.22,2252600.0,34129893.0,198886750.0,0.011326043590133582
56,2025-01-09,15.14,15.49,15.14,15.47,2214900.0,34086435.0,198886750.0,0.011136488478996212
57,2025-01-10,15.45,16.03,15.18,15.18,3781000.0,58857458.0,198886750.0,0.019010818971097874
58,2025-01-13,15.05,15.31,14.72,15.23,2682057.0,40478038.0,198886750.0,0.013485347817287979
59,2025-01-14,15.33,15.95,15.25,15.95,3809884.0,59976551.0,198886750.0,0.01915604734855389
60,2025-01-15,15.99,16.0,15.68,15.75,2509000.0,39681656.0,198886750.0,0.012615219465349
61,2025-01-16,15.76,15.98,15.53,15.71,2697400.0,42519911.0,198886750.0,0.01356249222233256
62,2025-01-17,15.56,15.76,15.54,15.71,1713800.0,26881355.0,198886750.0,0.008616964176849387
63,2025-01-20,15.85,15.94,15.68,15.89,2205480.0,34938947.0,198886750.0,0.011089124841147035
64,2025-01-21,16.0,16.07,15.66,15.8,1662312.0,26292663.0,198886750.0,0.008358083180503477
65,2025-01-22,15.81,16.65,15.62,16.11,5719663.0,92327035.0,198886750.0,0.028758391396108588
66,2025-01-23,16.27,16.3,15.91,15.91,3851380.0,62132616.0,198886750.0,0.019364688698467847
67,2025-01-24,15.8,16.16,15.8,16.13,2401280.0,38451622.0,198886750.0,0.012073604702173474
68,2025-01-27,16.16,16.32,15.88,15.9,2322300.0,37452182.0,198886750.0,0.011676494286321235
69,2025-02-05,15.94,16.12,15.92,16.04,2134400.0,34201292.0,198886750.0,0.010731735522854087
70,2025-02-06,16.04,16.6,15.94,16.6,3858269.0,63141163.0,198886750.0,0.019399326501136953
71,2025-02-07,16.63,16.86,16.43,16.62,3826610.0,63865842.0,198886750.0,0.01924014545966486
72,2025-02-10,16.65,16.8,16.48,16.8,2819900.0,46879632.0,198886750.0,0.014178420633853186
73,2025-02-11,16.79,16.79,16.57,16.69,2154260.0,35855161.0,198886750.0,0.01083159134532592
74,2025-02-12,16.65,16.74,16.5,16.68,2535756.0,42112515.0,198886750.0,0.01274974828639917
75,2025-02-13,16.65,16.75,16.47,16.49,2501980.0,41493356.0,198886750.0,0.012579922996378593
