,date,code,close,tradeStatus
0,2024-10-22,sz.002371,396.5500,1
1,2024-10-23,sz.002371,393.9000,1
2,2024-10-24,sz.002371,387.8900,1
3,2024-10-25,sz.002371,388.4200,1
4,2024-10-28,sz.002371,384.5000,1
5,2024-10-29,sz.002371,388.7000,1
6,2024-10-30,sz.002371,390.1800,1
7,2024-10-31,sz.002371,392.3700,1
8,2024-11-01,sz.002371,387.5000,1
9,2024-11-04,sz.002371,400.3000,1
10,2024-11-05,sz.002371,410.5100,1
11,2024-11-06,sz.002371,404.9100,1
12,2024-11-07,sz.002371,425.9900,1
13,2024-11-08,sz.002371,447.7500,1
14,2024-11-11,sz.002371,486.6900,1
15,2024-11-12,sz.002371,467.8100,1
16,2024-11-13,sz.002371,468.0000,1
17,2024-11-14,sz.002371,449.3100,1
18,2024-11-15,sz.002371,422.6800,1
19,2024-11-18,sz.002371,423.8900,1
20,2024-11-19,sz.002371,435.0400,1
21,2024-11-20,sz.002371,433.9000,1
22,2024-11-21,sz.002371,433.9100,1
23,2024-11-22,sz.002371,422.5300,1
24,2024-11-25,sz.002371,418.1100,1
25,2024-11-26,sz.002371,409.5000,1
26,2024-11-27,sz.002371,415.9100,1
27,2024-11-28,sz.002371,412.9700,1
28,2024-11-29,sz.002371,415.6800,1
29,2024-12-02,sz.002371,421.9900,1
30,2024-12-03,sz.002371,405.4100,1
31,2024-12-04,sz.002371,402.5500,1
32,2024-12-05,sz.002371,399.0000,1
33,2024-12-06,sz.002371,405.5900,1
34,2024-12-09,sz.002371,397.8000,1
35,2024-12-10,sz.002371,398.3500,1
36,2024-12-11,sz.002371,390.8600,1
37,2024-12-12,sz.002371,397.9600,1
38,2024-12-13,sz.002371,386.4800,1
39,2024-12-16,sz.002371,378.4500,1
40,2024-12-17,sz.002371,382.9200,1
41,2024-12-18,sz.002371,395.5500,1
42,2024-12-19,sz.002371,399.9000,1
43,2024-12-20,sz.002371,414.2000,1
44,2024-12-23,sz.002371,403.5000,1
45,2024-12-24,sz.002371,408.5000,1
46,2024-12-25,sz.002371,406.2000,1
47,2024-12-26,sz.002371,405.2800,1
48,2024-12-27,sz.002371,412.3000,1
49,2024-12-30,sz.002371,406.9700,1
50,2024-12-31,sz.002371,391.0000,1
51,2025-01-02,sz.002371,376.4000,1
52,2025-01-03,sz.002371,375.1000,1
53,2025-01-06,sz.002371,376.3000,1
54,2025-01-07,sz.002371,390.6700,1
55,2025-01-08,sz.002371,386.2700,1
56,2025-01-09,sz.002371,385.6900,1
57,2025-01-10,sz.002371,383.6500,1
58,2025-01-13,sz.002371,382.4600,1
59,2025-01-14,sz.002371,391.3500,1
60,2025-01-15,sz.002371,382.3000,1
61,2025-01-16,sz.002371,392.3500,1
62,2025-01-17,sz.002371,388.5800,1
63,2025-01-20,sz.002371,388.5800,1
64,2025-01-21,sz.002371,393.6100,1
65,2025-01-22,sz.002371,384.9100,1
66,2025-01-23,sz.002371,385.7100,1
67,2025-01-24,sz.002371,379.4100,1
68,2025-01-27,sz.002371,377.0000,1
69,2025-02-05,sz.002371,378.0300,1
70,2025-02-06,sz.002371,411.3000,1
71,2025-02-07,sz.002371,407.5800,1
72,2025-02-10,sz.002371,405.9800,1
73,2025-02-11,sz.002371,401.6800,1
74,2025-02-12,sz.002371,414.6600,1
75,2025-02-13,sz.002371,409.6500,1
