,date,code,close,tradeStatus
0,2024-10-22,sh.600372,12.8200,1
1,2024-10-23,sh.600372,13.1500,1
2,2024-10-24,sh.600372,12.9100,1
3,2024-10-25,sh.600372,12.9900,1
4,2024-10-28,sh.600372,13.2700,1
5,2024-10-29,sh.600372,13.0300,1
6,2024-10-30,sh.600372,12.8300,1
7,2024-10-31,sh.600372,12.7700,1
8,2024-11-01,sh.600372,12.5500,1
9,2024-11-04,sh.600372,12.9700,1
10,2024-11-05,sh.600372,13.6000,1
11,2024-11-06,sh.600372,13.6200,1
12,2024-11-07,sh.600372,13.4400,1
13,2024-11-08,sh.600372,13.6500,1
14,2024-11-11,sh.600372,13.9800,1
15,2024-11-12,sh.600372,13.5700,1
16,2024-11-13,sh.600372,13.5300,1
17,2024-11-14,sh.600372,13.1300,1
18,2024-11-15,sh.600372,12.8000,1
19,2024-11-18,sh.600372,12.7300,1
20,2024-11-19,sh.600372,12.9800,1
21,2024-11-20,sh.600372,13.0100,1
22,2024-11-21,sh.600372,12.9000,1
23,2024-11-22,sh.600372,12.5200,1
24,2024-11-25,sh.600372,12.3600,1
25,2024-11-26,sh.600372,12.2600,1
26,2024-11-27,sh.600372,12.5000,1
27,2024-11-28,sh.600372,12.4100,1
28,2024-11-29,sh.600372,12.5500,1
29,2024-12-02,sh.600372,12.6700,1
30,2024-12-03,sh.600372,12.6100,1
31,2024-12-04,sh.600372,12.4600,1
32,2024-12-05,sh.600372,12.5000,1
33,2024-12-06,sh.600372,12.6400,1
34,2024-12-09,sh.600372,12.5200,1
35,2024-12-10,sh.600372,12.5800,1
36,2024-12-11,sh.600372,12.6700,1
37,2024-12-12,sh.600372,12.7600,1
38,2024-12-13,sh.600372,12.2900,1
39,2024-12-16,sh.600372,12.2000,1
40,2024-12-17,sh.600372,12.1500,1
41,2024-12-18,sh.600372,12.2600,1
42,2024-12-19,sh.600372,12.2100,1
43,2024-12-20,sh.600372,12.2900,1
44,2024-12-23,sh.600372,12.2000,1
45,2024-12-24,sh.600372,12.2700,1
46,2024-12-25,sh.600372,12.2300,1
47,2024-12-26,sh.600372,12.3400,1
48,2024-12-27,sh.600372,12.4800,1
49,2024-12-30,sh.600372,12.6200,1
50,2024-12-31,sh.600372,12.3300,1
51,2025-01-02,sh.600372,11.8600,1
52,2025-01-03,sh.600372,11.5200,1
53,2025-01-06,sh.600372,11.4000,1
54,2025-01-07,sh.600372,11.4600,1
55,2025-01-08,sh.600372,11.2800,1
56,2025-01-09,sh.600372,11.3400,1
57,2025-01-10,sh.600372,11.2000,1
58,2025-01-13,sh.600372,11.2300,1
59,2025-01-14,sh.600372,11.5100,1
60,2025-01-15,sh.600372,11.4100,1
61,2025-01-16,sh.600372,11.4100,1
62,2025-01-17,sh.600372,11.5200,1
63,2025-01-20,sh.600372,11.5600,1
64,2025-01-21,sh.600372,11.5000,1
65,2025-01-22,sh.600372,11.3700,1
66,2025-01-23,sh.600372,11.3900,1
67,2025-01-24,sh.600372,11.4100,1
68,2025-01-27,sh.600372,11.3600,1
69,2025-02-05,sh.600372,11.4100,1
70,2025-02-06,sh.600372,11.6500,1
71,2025-02-07,sh.600372,11.8200,1
72,2025-02-10,sh.600372,11.8400,1
73,2025-02-11,sh.600372,11.7200,1
74,2025-02-12,sh.600372,11.7800,1
75,2025-02-13,sh.600372,11.7200,1
