,date,open,high,low,close,volume,amount,outstanding_share,turnover
0,2025-01-02,9.65,9.85,9.34,9.47,11060453.0,106121065.0,409154358.99999994,0.027032470158774483
1,2025-01-03,9.47,9.59,8.86,8.89,11105989.0,101506145.0,409154358.99999994,0.02714376311948323
2,2025-01-06,8.96,9.06,8.54,8.89,8967900.0,79770040.0,409154358.99999994,0.021918133835646125
3,2025-01-07,8.9,9.18,8.9,9.18,8605143.0,77877914.0,409154358.99999994,0.021031532014058295
4,2025-01-08,9.17,9.25,8.71,9.04,12368419.0,111061114.0,409154358.99999994,0.030229224565098675
5,2025-01-09,9.04,9.18,8.9,9.1,7234200.0,65960905.0,409154358.99999994,0.01768085770289936
6,2025-01-10,9.08,9.18,8.76,8.76,7634500.0,68671789.0,409154358.99999994,0.018659217070689942
7,2025-01-13,8.6,8.96,8.45,8.91,8141951.0,71401361.0,409154358.99999994,0.019899460486989463
8,2025-01-14,9.03,9.5,8.95,9.49,12359683.0,114866770.0,409154358.99999994,0.030207873210022437
9,2025-01-15,9.47,9.57,9.36,9.39,8974781.0,84739484.0,409154358.99999994,0.021934951449460182
10,2025-01-16,9.48,9.67,9.35,9.41,8400200.0,79835719.0,409154358.99999994,0.020530637924842447
11,2025-01-17,9.52,9.55,9.32,9.44,7075200.0,66658781.0,409154358.99999994,0.017292251308998034
12,2025-01-20,9.66,9.72,9.35,9.59,9376834.0,89827751.0,409154358.99999994,0.022917595263845156
13,2025-01-21,9.63,9.7,9.4,9.57,7793095.0,74312840.0,409154358.99999994,0.01904683361811624
14,2025-01-22,9.6,9.6,9.38,9.48,6848000.0,64966030.0,409154358.99999994,0.01673695965683211
15,2025-01-23,9.61,11.0,9.61,10.48,44146223.0,464036335.0,409154358.99999994,0.10789625487040212
16,2025-01-24,10.43,11.59,10.42,11.43,51526414.0,575383078.0,409154358.99999994,0.12593392412079865
17,2025-01-27,11.32,11.49,10.96,11.27,30892007.0,345910217.0,409154358.99999994,0.07550208453235617
18,2025-02-05,11.5,11.75,11.28,11.57,38049790.0,437280631.0,409154358.99999994,0.09299617409184197
19,2025-02-06,11.31,11.57,11.04,11.56,31898719.0,361334273.0,409154358.99999994,0.07796255446957123
