,date,open,high,low,close,volume,amount,outstanding_share,turnover
0,2024-10-22,18.99,19.27,18.75,19.13,41840703.0,794106747.0,1559421113.0,0.02683091991713979
1,2024-10-23,19.2,19.97,18.88,19.52,58926787.0,1145806999.0,1559421113.0,0.037787603687522986
2,2024-10-24,19.31,19.37,18.65,18.68,37264847.0,703203566.0,1559421113.0,0.023896590016220975
3,2024-10-25,18.95,20.18,18.95,19.86,74157200.0,1456749489.0,1559421113.0,0.047554313188268346
4,2024-10-28,19.99,20.2,19.39,19.68,45040732.0,885211711.0,1559421113.0,0.028882982040272016
5,2024-10-29,19.79,20.14,18.98,19.01,45566453.0,882559185.0,1559421113.0,0.02922010778239348
6,2024-10-30,18.7,18.98,18.14,18.37,45587211.0,844700971.0,1559421113.0,0.029233419132244365
7,2024-10-31,18.49,18.89,18.33,18.78,35449290.0,661494776.0,1559421113.0,0.022732339394714866
8,2024-11-01,18.58,18.78,17.91,17.95,37461304.0,683191355.0,1559421113.0,0.024022570739684477
9,2024-11-04,17.81,18.92,17.81,18.55,30281065.0,561158738.0,1559421113.0,0.019418144815126662
10,2024-11-05,18.36,19.3,18.36,19.18,44041473.0,835807348.0,1559421113.0,0.028242193614573693
11,2024-11-06,19.45,20.6,19.45,19.72,74799994.0,1499219668.0,1559421113.0,0.04796651358406996
12,2024-11-07,20.05,20.68,19.85,20.54,77014622.0,1565310473.0,1559421113.0,0.04938667391250076
13,2024-11-08,21.0,21.38,20.33,20.36,73194873.0,1522697765.0,1559421113.0,0.0469372079099201
14,2024-11-11,20.6,24.43,20.6,24.43,147023184.0,3365532059.0,1559421113.0,0.09428061655338124
15,2024-11-12,25.2,27.09,25.19,25.97,221684426.0,5793280260.0,1559421113.0,0.1421581535301427
16,2024-11-13,25.81,25.99,24.44,25.57,114253005.0,2867176568.0,1559421113.0,0.07326629352875769
17,2024-11-14,26.15,26.85,24.43,24.54,113330153.0,2921363047.0,1559421113.0,0.07267450213109947
18,2024-11-15,24.42,24.85,22.98,23.03,87465506.0,2081931526.0,1559421113.0,0.05608844543071157
