,date,open,high,low,close,volume,amount,outstanding_share,turnover
0,2025-01-02,9.61,9.7,9.0,9.12,90330100.0,844492694.0,2355522705.0,0.03834821876616129
1,2025-01-03,9.12,9.18,8.73,8.76,72762018.0,648175628.0,2355522705.0,0.03088996673458089
2,2025-01-06,8.81,8.98,8.67,8.76,45928275.0,404154312.0,2355522705.0,0.019498124515000163
3,2025-01-07,8.76,8.91,8.76,8.89,38189999.0,337998534.0,2355522705.0,0.016212961530336852
4,2025-01-08,8.81,8.87,8.34,8.69,66912629.0,576298695.0,2355522705.0,0.028406700923734037
5,2025-01-09,8.61,8.94,8.6,8.7,49922971.0,437081215.0,2355522705.0,0.02119400967523257
6,2025-01-10,8.69,8.91,8.52,8.54,60584172.0,529780840.0,2355522705.0,0.02572005435201271
7,2025-01-13,8.37,8.7,8.31,8.58,42553671.0,363443328.0,2355522705.0,0.018065489629827194
8,2025-01-14,8.66,8.95,8.58,8.9,54983893.0,484356456.0,2355522705.0,0.02334254426131715
9,2025-01-15,8.88,8.92,8.74,8.84,39243898.0,346884193.0,2355522705.0,0.01666037772282904
10,2025-01-16,8.91,9.08,8.79,8.86,43381971.0,386616753.0,2355522705.0,0.018417131326271804
11,2025-01-17,8.79,8.94,8.73,8.85,34727000.0,307266665.0,2355522705.0,0.014742799942571558
12,2025-01-20,8.98,9.02,8.85,8.89,30310925.0,270249184.0,2355522705.0,0.012868024976222846
13,2025-01-21,8.92,8.97,8.78,8.91,34642836.0,307323105.0,2355522705.0,0.014707069444274365
14,2025-01-22,8.85,8.9,8.71,8.75,31879090.0,279913492.0,2355522705.0,0.013533764685150848
15,2025-01-23,8.85,8.98,8.5,8.5,60676546.0,531510315.0,2355522705.0,0.02575927027627611
16,2025-01-24,8.5,8.78,8.49,8.77,48209001.0,418131376.0,2355522705.0,0.020466370754002136
17,2025-01-27,8.77,8.93,8.67,8.68,35232378.0,309462160.0,2355522705.0,0.014957350198838351
18,2025-02-05,8.8,9.2,8.8,9.05,79486556.0,720284900.0,2355522705.0,0.03374476324565931
19,2025-02-06,9.06,9.75,8.91,9.7,107974481.0,1015922364.0,2355522705.0,0.04583886233437941
20,2025-02-07,9.82,10.02,9.65,9.82,128908836.0,1267621622.0,2355522705.0,0.054726212456525654
21,2025-02-10,9.89,9.97,9.77,9.95,82483035.0,816759502.0,2355522705.0,0.03501687112797327
22,2025-02-11,10.12,10.15,9.74,9.78,75686689.0,742909371.0,2355522705.0,0.03213158966345009
23,2025-02-12,9.86,10.05,9.86,10.03,94591194.0,943205559.0,2355522705.0,0.040157198994182484
24,2025-02-13,9.99,10.0,9.76,9.82,70550750.0,697187540.0,2355522705.0,0.029951207793600953
25,2025-02-14,9.83,10.05,9.75,10.01,81291628.0,809036543.0,2355522705.0,0.03451107808362221
26,2025-02-17,10.32,10.39,10.0,10.12,110558723.0,1123888403.0,2355522705.0,0.04693596150243858
27,2025-02-18,10.02,10.17,9.73,9.79,83100098.0,828044180.0,2355522705.0,0.035278835488872944
28,2025-02-19,9.78,10.0,9.76,10.0,61425072.0,610620443.0,2355522705.0,0.026077045179660027
29,2025-02-20,10.01,10.21,9.89,9.99,70144942.0,702923347.0,2355522705.0,0.029778928409862217
30,2025-02-21,9.99,10.24,9.87,10.19,97678914.0,985067485.0,2355522705.0,0.041468041803485824
31,2025-02-24,10.16,10.16,9.92,10.01,73200675.0,735375187.0,2355522705.0,0.031076191642992464
